Time,Z
2020-05-08 04:00:00,1.848581
2020-05-11 04:00:00,1.818754
2020-05-12 04:00:00,1.785624
2020-05-13 04:00:00,1.763231
2020-05-14 04:00:00,1.740645
2020-05-15 04:00:00,1.712107
2020-05-18 04:00:00,1.665665
2020-05-19 04:00:00,1.609988
2020-05-20 04:00:00,1.560519
2020-05-21 04:00:00,1.506895
2020-05-22 04:00:00,1.461119
2020-05-26 04:00:00,1.419055
2020-05-27 04:00:00,1.385702
2020-05-28 04:00:00,1.3406
2020-05-29 04:00:00,1.305928
2020-06-01 04:00:00,1.275816
2020-06-02 04:00:00,1.242941
2020-06-03 04:00:00,1.205349
2020-06-04 04:00:00,1.169174
2020-06-05 04:00:00,1.13972
2020-06-08 04:00:00,1.095197
2020-06-09 04:00:00,1.044935
2020-06-10 04:00:00,0.99438
2020-06-11 04:00:00,0.94585
2020-06-12 04:00:00,0.924359
2020-06-15 04:00:00,0.908037
2020-06-16 04:00:00,0.890747
2020-06-17 04:00:00,0.867392
2020-06-18 04:00:00,0.842329
2020-06-19 04:00:00,0.816681
2020-06-22 04:00:00,0.783093
2020-06-23 04:00:00,0.747833
2020-06-24 04:00:00,0.692781
2020-06-25 04:00:00,0.65224
2020-06-26 04:00:00,0.593777
2020-06-29 04:00:00,0.561841
2020-06-30 04:00:00,0.51939
2020-07-01 04:00:00,0.456278
2020-07-02 04:00:00,0.378479
2020-07-06 04:00:00,0.293467
2020-07-07 04:00:00,0.175466
2020-07-08 04:00:00,0.050789
2020-07-09 04:00:00,-0.109598
2020-07-10 04:00:00,-0.305961
2020-07-13 04:00:00,-0.554314
2020-07-14 04:00:00,-0.805983
2020-07-15 04:00:00,-1.074107
2020-07-16 04:00:00,-1.350719
2020-07-17 04:00:00,-1.617377
2020-07-20 04:00:00,-1.8367
2020-07-21 04:00:00,-2.016082
2020-07-22 04:00:00,-2.168924
2020-07-23 04:00:00,-2.284514
2020-07-24 04:00:00,-2.360994
2020-07-27 04:00:00,-2.403703
2020-07-28 04:00:00,-2.424451
2020-07-29 04:00:00,-2.411965
2020-07-30 04:00:00,-2.406519
