Time,Z
2020-05-08 04:00:00,1.150195
2020-05-11 04:00:00,1.173274
2020-05-12 04:00:00,1.164321
2020-05-13 04:00:00,1.156034
2020-05-14 04:00:00,1.174949
2020-05-15 04:00:00,1.195391
2020-05-18 04:00:00,1.216796
2020-05-19 04:00:00,1.221726
2020-05-20 04:00:00,1.243187
2020-05-21 04:00:00,1.258552
2020-05-22 04:00:00,1.261484
2020-05-26 04:00:00,1.259063
2020-05-27 04:00:00,1.244879
2020-05-28 04:00:00,1.228336
2020-05-29 04:00:00,1.214661
2020-06-01 04:00:00,1.201347
2020-06-02 04:00:00,1.181789
2020-06-03 04:00:00,1.152298
2020-06-04 04:00:00,1.118652
2020-06-05 04:00:00,1.082739
2020-06-08 04:00:00,1.038025
2020-06-09 04:00:00,0.982765
2020-06-10 04:00:00,0.932516
2020-06-11 04:00:00,0.88909
2020-06-12 04:00:00,0.865844
2020-06-15 04:00:00,0.836372
2020-06-16 04:00:00,0.807286
2020-06-17 04:00:00,0.777708
2020-06-18 04:00:00,0.752543
2020-06-19 04:00:00,0.726197
2020-06-22 04:00:00,0.704088
2020-06-23 04:00:00,0.682298
2020-06-24 04:00:00,0.594772
2020-06-25 04:00:00,0.511665
2020-06-26 04:00:00,0.417768
2020-06-29 04:00:00,0.346854
2020-06-30 04:00:00,0.27389
2020-07-01 04:00:00,0.206824
2020-07-02 04:00:00,0.157282
2020-07-06 04:00:00,0.105029
2020-07-07 04:00:00,0.028205
2020-07-08 04:00:00,-0.03359
2020-07-09 04:00:00,-0.099018
2020-07-10 04:00:00,-0.183373
2020-07-13 04:00:00,-0.328136
2020-07-14 04:00:00,-0.476118
2020-07-15 04:00:00,-0.641043
2020-07-16 04:00:00,-0.867886
2020-07-17 04:00:00,-1.152723
2020-07-20 04:00:00,-1.405318
2020-07-21 04:00:00,-1.605
2020-07-22 04:00:00,-1.788517
2020-07-23 04:00:00,-1.965988
2020-07-24 04:00:00,-2.100443
2020-07-27 04:00:00,-2.151601
2020-07-28 04:00:00,-2.162761
2020-07-29 04:00:00,-2.129785
2020-07-30 04:00:00,-2.160276
2020-07-31 04:00:00,-2.170876
2020-08-03 04:00:00,-2.159244
2020-08-04 04:00:00,-2.131938
2020-08-05 04:00:00,-2.008806
2020-08-06 04:00:00,-1.92028
2020-08-07 04:00:00,-1.794561
