Time,Z
2020-05-08 04:00:00,-0.837824
2020-05-11 04:00:00,-0.805909
2020-05-12 04:00:00,-0.775999
2020-05-13 04:00:00,-0.715133
2020-05-14 04:00:00,-0.687616
2020-05-15 04:00:00,-0.645421
2020-05-18 04:00:00,-0.615674
2020-05-19 04:00:00,-0.591133
2020-05-20 04:00:00,-0.560577
2020-05-21 04:00:00,-0.531158
2020-05-22 04:00:00,-0.48768
2020-05-26 04:00:00,-0.463702
2020-05-27 04:00:00,-0.446932
2020-05-28 04:00:00,-0.393217
2020-05-29 04:00:00,-0.411861
2020-06-01 04:00:00,-0.377499
2020-06-02 04:00:00,-0.357934
2020-06-03 04:00:00,-0.294581
2020-06-04 04:00:00,-0.284025
2020-06-05 04:00:00,-0.198788
2020-06-08 04:00:00,-0.170712
2020-06-09 04:00:00,-0.103492
2020-06-10 04:00:00,-0.062036
2020-06-11 04:00:00,0.058196
2020-06-12 04:00:00,0.224288
2020-06-15 04:00:00,0.395608
2020-06-16 04:00:00,0.71552
2020-06-17 04:00:00,0.791685
2020-06-18 04:00:00,0.900186
2020-06-19 04:00:00,0.741659
2020-06-22 04:00:00,0.890559
2020-06-23 04:00:00,0.976634
2020-06-24 04:00:00,0.682702
2020-06-25 04:00:00,0.204364
2020-06-26 04:00:00,-0.283629
2020-06-29 04:00:00,-1.035142
2020-06-30 04:00:00,-1.279444
2020-07-01 04:00:00,-0.937887
2020-07-02 04:00:00,-1.279313
2020-07-06 04:00:00,-1.617161
2020-07-07 04:00:00,-1.799185
2020-07-08 04:00:00,-1.967718
2020-07-09 04:00:00,-1.462023
2020-07-10 04:00:00,-1.61733
2020-07-13 04:00:00,-1.465332
2020-07-14 04:00:00,-1.409415
2020-07-15 04:00:00,-1.345383
2020-07-16 04:00:00,-1.381898
2020-07-17 04:00:00,-1.35751
2020-07-20 04:00:00,-1.273147
2020-07-21 04:00:00,-1.248176
2020-07-22 04:00:00,-1.057379
2020-07-23 04:00:00,-0.992963
2020-07-24 04:00:00,-0.922724
2020-07-27 04:00:00,-0.755625
2020-07-28 04:00:00,-0.733686
2020-07-29 04:00:00,-0.876927
2020-07-30 04:00:00,-0.614882
2020-07-31 04:00:00,-0.481284
2020-08-03 04:00:00,-0.527824
2020-08-04 04:00:00,-0.485394
